"date","vaccine_series_completed_percent_population","zip_code"
2021-02-25,0.096,"60601"
2021-01-11,0.015,"60601"
2021-03-13,0.141,"60601"
2021-04-26,0.365,"60601"
2021-02-06,0.043,"60601"
2021-05-21,0.556,"60601"
2021-02-12,0.06,"60601"
2021-03-07,0.123,"60601"
2021-04-07,0.226,"60601"
2021-05-17,0.535,"60601"
2021-04-06,0.218,"60601"
2021-01-27,0.032,"60601"
2021-05-04,0.443,"60601"
2021-04-24,0.354,"60601"
2020-12-28,0,"60601"
2021-01-16,0.021,"60601"
2021-01-15,0.021,"60601"
2021-03-10,0.132,"60601"
2021-01-30,0.035,"60601"
2021-02-21,0.081,"60601"
2020-12-22,0,"60601"
2021-04-23,0.347,"60601"
2021-02-08,0.044,"60601"
2021-02-22,0.084,"60601"
2021-03-08,0.124,"60601"
2020-12-27,0,"60601"
2021-05-10,0.482,"60601"
2021-01-31,0.035,"60601"
2021-02-16,0.064,"60601"
2021-05-05,0.452,"60601"
2021-04-18,0.301,"60601"
2021-05-15,0.527,"60601"
2021-02-05,0.042,"60601"
2020-12-31,0,"60601"
2021-02-13,0.062,"60601"
2021-03-06,0.122,"60601"
2021-01-29,0.034,"60601"
2021-05-20,0.549,"60601"
2021-01-03,0,"60601"
2021-03-11,0.136,"60601"
2021-01-19,0.025,"60601"
2021-04-20,0.323,"60601"
2021-01-23,0.028,"60601"
2021-03-25,0.169,"60601"
2020-12-24,0,"60601"
2021-04-19,0.31,"60601"
2021-02-03,0.039,"60601"
2021-01-01,0,"60601"
2021-02-15,0.063,"60601"
2021-02-02,0.038,"60601"
2021-03-03,0.114,"60601"
2020-12-20,0,"60601"
2021-04-17,0.297,"60601"
2021-01-07,0.004,"60601"
2021-01-09,0.011,"60601"
2021-02-07,0.043,"60601"
2021-04-05,0.211,"60601"
2021-03-15,0.144,"60601"
2021-05-13,0.509,"60601"
2021-02-11,0.054,"60601"
2020-12-15,0,"60601"
2021-02-23,0.086,"60601"
2021-01-14,0.02,"60601"
2021-03-30,0.184,"60601"
2021-05-22,0.559,"60601"
2021-04-28,0.39,"60601"
2021-03-20,0.158,"60601"
2021-01-02,0,"60601"
2021-02-14,0.062,"60601"
2021-05-01,0.42,"60601"
2021-01-26,0.031,"60601"
2021-01-10,0.011,"60601"
2021-04-15,0.284,"60601"
2020-12-26,0,"60601"
2021-03-21,0.159,"60601"
2021-05-24,0.563,"60601"
2021-01-06,0.001,"60601"
2021-03-28,0.178,"60601"
2021-05-14,0.519,"60601"
2021-04-13,0.272,"60601"
2021-03-31,0.188,"60601"
2021-02-18,0.072,"60601"
2021-05-06,0.461,"60601"
2021-04-08,0.235,"60601"
2021-05-25,0.567,"60601"
2021-05-19,0.545,"60601"
2021-04-29,0.4,"60601"
2021-01-18,0.023,"60601"
2021-02-10,0.048,"60601"
2021-01-24,0.028,"60601"
2021-04-30,0.413,"60601"
2021-01-28,0.033,"60601"
2021-04-02,0.199,"60601"
2021-02-04,0.041,"60601"
2021-05-12,0.498,"60601"
2020-12-19,0,"60601"
2020-12-18,0,"60601"
2021-05-23,0.561,"60601"
2021-04-01,0.193,"60601"
2021-04-25,0.356,"60601"
2021-04-16,0.291,"60601"
2021-02-19,0.078,"60601"
2021-01-17,0.022,"60601"
2020-12-23,0,"60601"
2021-03-17,0.152,"60601"
2021-05-02,0.424,"60601"
2021-03-01,0.108,"60601"
2021-04-21,0.33,"60601"
2021-03-14,0.142,"60601"
2021-02-20,0.08,"60601"
2021-03-19,0.156,"60601"
2021-04-15,0.494,"60602"
2021-02-27,0.221,"60602"
2021-04-24,0.577,"60602"
2021-02-22,0.173,"60602"
2021-02-13,0.127,"60602"
2021-02-24,0.19,"60602"
2021-02-15,0.129,"60602"
2021-05-15,0.783,"60602"
2021-03-31,0.373,"60602"
2021-04-04,0.403,"60602"
2021-01-23,0.038,"60602"
